"서울시 기준일","서울시 확진자","서울시 추가 확진","서울시 치료중","서울시 퇴원","서울시 추가 퇴원","서울시 사망","서울시 의심환자 전체","서울시 의심환자 검사중","서울시 의심환자 검사결과(음성)","전국 기준일","전국 확진","전국 추가 확진","전국 치료중","전국 퇴원","전국 사망","전국 의심환자 전체","전국 의심환자 검사중","전국 의심환자 검사결과(음성)","자가격리자 해외입국자 감시중","자가격리자 해외입국자 감시해제","자가격리자 접촉자 감시중","자가격리자 접촉자 감시해제","확인중 확진자"
"20.07.12.00","1416","7","198","1209","11","9","315405","9595","305810","20.07.12.00","13417","44","951","12178","288","1388727","21830","1366897","7733","76618","2827","30704","0"
"20.07.11.00","1409","8","202","1198","16","9","313457","9409","304048","20.07.11.00","13373","35","941","12144","288","1394355","22950","1371405","7848","75667","2932","30483","0"
"20.07.10.00","1401","8","210","1182","11","9","310940","9309","301631","20.07.10.00","13338","45","985","12065","288","1371552","23527","1348025","7839","75175","2963","31156","0"
"20.07.09.00","1393","8","213","1171","11","9","307608","9285","298323","20.07.09.00","13293","50","-10013","23019","287","1358478","23912","1334566","7737","74707","2961","29978","0"
"20.07.08.00","1385","10","216","1160","16","9","305590","9122","296468","20.07.08.00","13244","63","989","11970","285","1346491","24012","1322479","7969","74116","2971","29586","0"
"20.07.07.00","1375","3","223","1144","34","8","301998","9423","292575","20.07.07.00","13181","44","982","11914","285","1333013","23675","1309338","7853","73639","3024","29586","0"
"20.07.06.00","1372","3","254","1110","5","8","299905","9463","290442","20.07.06.00","13127","48","1005","11838","284","1318659","21292","1297367","7737","72733","2962","29520","0"
"20.07.05.00","1369","16","256","1105","2","8","299274","8363","289911","20.07.05.00","13091","61","976","11832","283","1312961","21646","1291315","7980","71830","2925","29367","0"
"20.07.04.00","1353","7","242","1103","18","8","297201","9131","288070","20.07.04.00","13030","63","936","11811","283","1306493","22321","1284172","7888","70929","2978","29129","0"
"20.07.03.00","1346","12","254","1085","31","7","294510","8956","285554","20.07.03.00","12967","63","926","11759","282","1294794","21560","1273234","7622","70320","2897","29070","0"
"20.07.02.00","1334","13","273","1054","28","7","291561","8881","282680","20.07.02.00","12904","54","938","11684","282","1283058","19782","1263276","7650","69656","2953","28878","0"
"20.07.01.00","1321","9","288","1026","41","7","287875","8911","278964","20.07.01.00","12850","51","955","11613","282","1272381","19526","1252855","7334","69179","3047","28661","0"
"20.06.30.00","1312","7","320","985","43","7","283897","8937","274960","20.06.30.00","12800","43","981","11537","282","1260966","20809","1240157","7343","68608","2986","28353","0"
"20.06.29.00","1305","7","356","942","19","7","281411","8939","272472","20.06.29.00","12757","42","1046","11429","282","1247197","18499","1228698","7346","67879","2935","28353","0"
"20.06.28.00","1298","14","368","923","12","7","280610","8999","271611","20.06.28.00","12715","63","1069","11364","282","1238980","19005","1219975","7372","67003","2901","28226","0"
"20.06.27.00","1267","17","417","843","82","7","273470","8486","264984","20.06.27.00","12602","39","1148","11172","282","1219713","18828","1200885","7582","65346","3299","26790","0"
"20.06.27.00","1284","17","366","911","68","7","277742","8500","269242","20.06.27.00","12653","51","1054","11317","282","1231127","19866","1211261","7446","65972","3447","27250","0"
"20.06.25.00","1250","9","483","761","14","6","261515","8374","261515","20.06.25.00","12563","28","1307","10974","282","1207915","18900","1189015","7763","64702","3399","26790","0"
"20.06.24.00","1241","11","488","747","4","6","266197","8491","257706","20.06.24.00","12535","51","1324","10930","281","1196062","20245","1175817","7789","64085","3331","26651","0"
"20.06.23.00","1230","6","481","743","10","6","262035","8954","253081","20.06.23.00","12484","46","1295","10908","281","1183528","22278","1161250","7989","63408","3763","26131","0"
"20.06.21.00","1219","17","480","733","3","6","258808","8612","250196","20.06.21.00","12421","48","1273","10868","280","1163988","20071","1143917","8117","61925","3722","25790","0"
"20.06.21.00","1219","17","480","733","3","6","258808","8612","250196","20.06.21.00","12373","48","1237","10856","280","1158528","21470","1137058","8117","61925","3722","25790","0"
"20.06.20.00","1202","14","466","730","6","6","255957","8460","247497","20.06.20.00","12373","67","1237","10856","280","1158525","21470","1137058","8300","60830","3601","25790","0"
"20.06.19.00","1188","18","458","724","6","6","251983","8386","243597","20.06.19.00","12306","49","1191","10835","280","1145757","21190","1124567","8456","60072","3464","25452","0"
"20.06.18.00","1170","25","446","718","8","6","248253","8506","239747","20.06.18.00","12257","59","1177","10800","280","1133455","21714","1111741","8831","59293","3464","25452","0"
"20.06.17.00","1145","13","430","710","7","5","244286","8479","235807","20.06.17.00","12198","43","1145","10774","279","1120625","21489","1099136","8977","58493","3455","25205","0"
"20.06.16.00","1132","12","425","703","14","4","239947","8696","231251","20.06.16.00","12155","34","1117","10760","278","1107612","22632","1084980","8933","57963","3582","24866","0"
"20.06.15.00","1120","7","427","689","0","4","237541","8762","228779","20.06.15.00","12121","37","1114","10730","277","1093598","20793","1072805","8966","57200","3745","24575","0"
"20.06.14.00","1113","12","420","689","1","4","236725","8983","227742","20.06.14.00","12085","34","1090","10718","277","1088243","21356","1066887","9054","56228","3759","24446","0"
"20.06.13.00","1101","29","409","688","8","4","233862","8981","224881","20.06.13.00","12051","49","1083","10691","277","1082653","23352","1059301","9011","55243","4010","23832","0"
"20.06.12.00","1073","25","389","680","5","4","230103","9585","220518","20.06.12.00","12003","56","1057","10669","277","1069484","24244","1045240","8795","54845","4279","23168","0"
"20.06.11.00","1048","19","369","675","9","4","225425","9512","215913","20.06.11.00","11947","45","1017","10654","276","1054941","25494","1029447","8868","54125","4229","22587","0"
"20.06.10.00","1027","8","357","666","2","4","220349","9259","211090","20.06.10.00","11902","50","1015","10611","276","1040070","26223","1013847","8698","53665","4221","22263","0"
"20.06.09.00","1015","18","347","664","13","4","215545","9079","206466","20.06.09.00","11852","38","989","10589","274","1024145","27459","996686","8546","53130","4451","21795","0"
"20.06.07.10","996","17","341","651","1","4","213160","8869","204291","20.06.07.00","11814","38","978","10563","273","1006400","24374","982026","8471","52469","4338","21737","0"
"20.06.07.00","974","22","319","651","1","4","211327","8551","202776","20.06.07.00","11776","57","951","10552","273","1000993","26481","974512","7923","51921","4384","21408","0"
"20.06.06.00","947","18","293","650","5","4","209126","8521","200605","20.06.06.00","11719","51","915","10531","273","993586","27954","965632","7708","51043","4456","20888","0"
"20.06.05.00","924","8","275","645","1","4","205416","8572","196844","20.06.05.00","11668","39","889","10506","273","979292","28766","950526","7481","50517","4274","20750","0"
"20.06.04.00","909","13","261","644","5","4","200509","8797","191712","20.06.04.00","11629","39","857","10499","273","962229","28199","934030","7281","49934","4312","20545","0"
"20.06.03.00","896","18","253","639","1","4","196379","8793","187586","20.06.03.00","11590","49","850","10467","273","945262","27865","917397","7022","49383","3938","20528","0"
"20.06.02.00","876","13","234","638","11","4","192327","8627","183700","20.06.02.00","11541","38","823","10446","272","928310","28922","899388","7040","48832","4018","20248","0"
"20.06.01.00","862","1","231","627","0","4","188476","8533","179943","20.06.01.00","11503","35","810","10422","271","909888","24058","885830","7068","48046","3896","20136","0"
"20.05.31.00","861","6","230","627","0","4","187770","8707","179063","20.05.31.00","11468","27","793","10405","270","899354","23294","876060","7229","47259","3905","19849","0"
"20.05.30.00","855","9","224","627","4","4","184309","8267","176042","20.05.30.00","11441","39","774","10398","269","891460","26298","865162","7159","46529","3436","19755","0"
"20.05.29.00","846","18","219","623","2","4","180585","7754","172831","20.05.29.00","11402","58","770","10363","269","873718","24557","849161","7203","46089","2525","19599","0"
"20.05.28.00","826","19","201","621","3","4","177473","8024","169449","20.05.28.00","11344","79","735","10340","269","857322","22370","834952","7433","45336","2398","19435","0"
"20.05.27.00","802","10","180","618","4","4","173701","8721","164980","20.05.27.00","11265","40","701","10295","269","841611","21061","820550","7425","44886","2490","19002","0"
"20.05.26.00","783","7","165","614","7","4","170513","8805","161708","20.05.26.00","11225","19","681","10275","269","828250","22044","806206","7381","44390","2665","18673","0"
"20.05.25.00","774","6","163","607","3","4","168751","8850","159901","20.05.25.00","11206","16","713","10226","267","815231","19089","796142","7600","43921","2629","18515","0"
"20.05.24.00","768","6","160","604","0","4","168055","8892","159163","20.05.24.00","11190","25","711","10213","266","809099","20333","788766","8170","42863","2863","18188","0"
"20.05.23.00","762","3","154","604","5","4","165744","8598","157146","20.05.23.00","11165","23","705","10194","266","803255","21569","781686","8178","41964","3406","17603","0"
"20.05.22.00","758","2","155","599","3","4","162845","8409","154436","20.05.22.00","11142","20","716","10162","264","791276","20286","770990","8182","41437","3438","17392","0"
"20.05.21.00","756","3","156","596","4","4","159705","8385","151320","20.05.21.00","11122","12","723","10135","264","777562","18089","759473","8221","40810","3742","16963","0"
"20.05.20.00","752","2","156","592","5","4","155822","8265","147557","20.05.20.00","11110","32","781","10066","263","765323","16351","748972","8157","40317","3710","16674","0"
"20.05.19.00","742","6","151","587","8","4","152205","8590","143615","20.05.19.00","11078","13","877","9938","263","754496","16925","737571","8269","39680","3662","16585","0"
"20.05.18.00","736","1","153","579","4","4","148787","8667","140120","20.05.18.00","11065","15","898","9904","263","742146","16093","726053","8142","39008","3299","16464","0"
"20.05.17.00","735","4","156","575","1","4","147613","8437","139176","20.05.17.00","11050","19","900","9888","262","736603","17660","718943","8307","38108","3230","16416","0"
"20.05.16.00","730","5","152","574","5","4","143595","8241","135354","20.05.16.00","11037","19","924","9851","262","729608","18343","711265","8477","37208","2890","16380","0"
"20.05.15.00","724","10","151","569","5","4","138788","8297","130491","20.05.15.00","11018","27","937","9821","260","715729","19875","695854","8734","36512","2555","16326","0"
"20.05.14.00","711","3","143","564","6","4","133600","7612","125988","20.05.14.00","10991","29","969","9762","260","700493","20722","679771","8619","35874","2418","16316","0"
"20.05.13.00","707","4","146","558","5","3","129076","6821","122255","20.05.13.00","10962","26","1008","9695","259","684958","19579","665379","8795","35251","2123","16230","0"
"20.05.12.00","695","5","139","554","7","2","126464","6296","120168","20.05.12.00","10936","27","1008","9670","258","669954","16330","653624","8770","34778","1608","16204","0"
"20.05.11.00","683","14","134","547","6","2","124530","5957","118573","20.05.11.00","10909","35","1021","9632","256","657583","10922","646661","9053","34019","1279","16147","0"
"20.05.10.00","663","5","120","541","5","2","123889","5726","118163","20.05.10.00","10874","34","1008","9610","256","653012","10128","642884","8761","33241","1061","16133","0"
"20.05.09.00","649","1","111","536","16","2","123201","5468","117733","20.05.09.00","10840","18","1016","9568","256","649190","9153","640037","8657","32467","607","16118","0"
"20.05.08.00","637","0","115","520","12","2","124842","8002","116840","20.05.08.00","10822","12","1082","9484","256","644041","8867","635174","8855","31745","634","16086","0"
"20.05.07.00","637","0","127","508","14","2","120284","5295","114989","20.05.07.00","10810","4","1135","9419","256","638578","8429","630149","8866","31105","659","16032","0"
"20.05.06.00","637","0","141","494","5","2","119423","5338","114085","20.05.06.00","10806","2","1218","9333","255","632289","8009","624280","8877","30575","654","15988","0"
"20.05.05.00","637","0","146","489","8","2","118241","5204","113037","20.05.05.00","10804","3","1267","9283","254","629433","8858","620575","9104","30180","662","15961","0"
"20.05.04.00","637","0","154","481","8","2","117774","5326","112448","20.05.04.00","10801","8","1332","9217","252","623120","8176","614944","9324","29476","895","15717","0"
"20.05.03.00","637","2","162","473","10","2","117436","5323","112113","20.05.03.00","10793","13","1360","9183","250","620180","8588","611592","9409","28407","948","15661","0"
"20.05.02.00","635","1","170","463","2","2","116857","5357","111500","20.05.02.00","10780","6","1407","9123","250","616782","8496","608286","9580","27337","952","15645","0"
"20.05.01.00","634","1","177","455","2","2","116120","5442","110678","20.05.01.00","10774","9","1454","9072","248","612295","8685","603610","10021","26590","1026","15537","0"
"20.04.30.00","633","0","178","453","16","2","114805","5474","109331","20.04.30.00","10765","4","1459","9059","247","609116","8634","600482","10492","25829","1104","15412","0"
"20.04.29.00","633","0","194","437","10","2","116149","8081","108068","20.04.29.00","10761","9","1593","8922","246","603436","8307","595129","10562","25112","1094","15384","0"
"20.04.28.00","633","4","204","427","34","2","111888","5589","106299","20.04.28.00","10752","14","1654","8854","244","597762","9203","588559","11041","24120","1204","15224","0"
"20.04.27.00","629","0","234","393","5","2","111108","5589","105519","20.04.27.00","10738","10","1731","8764","243","590922","8895","582027","12327","22491","1236","15144","0"
"20.04.26.00","629","0","239","388","5","2","110737","5538","105199","20.04.26.00","10728","10","1769","8717","242","587557","8999","578558","13016","21337","1296","15082","0"
"20.04.24.10","629","1","244","383","21","2","109708","5340","104368","20.04.24.00","10718","10","1843","8635","240","584443","9259","575184","14553","18993","1255","14964","0"
"20.04.24.00","628","0","264","362","20","2","108856","5363","103493","20.04.24.00","10708","6","1967","8501","240","578812","9600","569212","15321","17878","1393","14790","0"
"20.04.23.00","628","0","284","342","20","2","110134","7860","102274","20.04.23.00","10702","8","2051","8411","240","573269","10139","563130","15834","16730","1459","14640","0"
"20.04.22.00","628","0","304","322","0","2","105582","5289","100293","20.04.22.00","10694","0","2179","8277","238","567265","12121","555144","16298","15744","1443","14555","0"
"20.04.21.00","626","0","309","315","0","2","107115","7768","99347","20.04.21.00","10683","0","2233","8213","237","560331","12721","547610","17243","14406","1706","14168","0"
"20.04.20.00","624","0","318","304","0","2","102531","5259","97272","20.04.20.00","10674","0","2324","8114","236","552361","11981","540380","18002","12813","1984","13849","0"
"20.04.19.00","624","0","334","288","0","2","101675","5271","96404","20.04.19.00","10661","0","2385","8042","234","548448","12243","536205","18620","11487","2020","13625","0"
"20.04.18.00","622","0","346","274","0","2","100643","5211","95432","20.04.18.00","10653","0","2484","7937","232","544181","13550","530631","19285","10214","2352","13322","0"
"20.04.17.00","621","0","351","268","0","2","98561","5368","93193","20.04.17.00","10635","0","2576","7829","230","535828","14186","521642","18696","8481","2533","13009","0"
"20.04.16.00","619","0","367","250","0","2","96988","5318","91670","20.04.16.00","10613","0","2627","7757","229","528162","14268","513894","17029","6745","2943","12367","0"
"20.04.15.00","617","0","376","239","0","2","96012","5348","90664","20.04.15.00","10591","0","2750","7616","225","523961","15026","508935","23069","5866","3072","12202","0"
"20.04.14.00","612","0","382","228","0","2","94036","5407","88629","20.04.14.00","10564","0","2808","7534","222","516874","14651","502223","21934","4850","3546","11400","0"
"20.04.13.00","610","0","394","214","0","2","92481","5283","87198","20.04.13.00","10537","0","2873","7447","217","508206","13391","494815","17085","3922","3600","10998","0"
"20.04.12.00","602","0","398","202","0","2","92016","5178","86838","20.04.12.00","10512","0","2930","7368","214","504109","13788","490321","0","0","0","0","0"
"20.04.10.10","599","0","402","195","0","2","90896","5018","85878","20.04.10.00","10480","0","3026","7243","211","499999","14070","485929","0","0","0","0","0"
"20.04.10.00","595","0","408","185","0","2","89244","5044","84200","20.04.10.00","10450","0","3125","7117","208","492601","15298","477303","0","0","0","0","0"
"20.04.09.00","590","0","414","174","0","2","87743","4908","82835","20.04.09.00","10423","0","3246","6973","204","484288","15509","468779","0","0","0","0","0"
"20.04.08.00","578","0","407","169","0","2","83952","5011","80941","20.04.08.00","10384","0","3408","6776","200","457619","17858","457761","0","0","0","0","0"
"20.04.06.10","563","0","412","151","0","0","82514","4758","77756","20.04.06.00","10284","0","3500","6598","186","456520","19295","437225","0","0","0","0","0"
"20.04.06.00","563","0","412","151","0","0","82514","4758","77756","20.04.06.00","10284","0","3500","6598","186","456520","19295","437225","0","0","0","0","0"
"20.04.05.00","552","0","407","145","0","0","84394","6981","77413","20.04.05.00","10237","0","3591","6463","183","450996","19571","431425","0","0","0","0","0"
"20.04.04.00","528","0","384","144","0","0","83784","7234","76550","20.04.04.00","10156","0","3654","6325","177","444876","20144","424732","0","0","0","0","0"
"20.04.03.00","506","0","375","131","0","0","77907","4924","72983","20.04.03.00","10062","0","3867","6021","174","433211","18908","414303","0","0","0","0","0"
"20.04.02.00","488","0","361","127","0","0","75585","4747","70838","20.04.02.00","9976","0","3979","5828","169","421767","17885","403882","0","0","0","0","0"
"20.04.01.00","474","0","357","117","0","0","73638","4682","68956","20.04.01.00","9887","0","4155","5567","165","411660","16585","395075","0","0","0","0","0"
"20.03.31.00","450","0","343","107","0","0","71195","4600","66595","20.03.31.00","9786","0","4216","5408","162","400778","16892","383886","0","0","0","0","0"
"20.03.30.00","426","0","334","92","0","0","69343","4429","64914","20.03.30.00","9661","0","4215","5288","158","378447","13531","372002","0","0","0","0","0"
"20.03.28.10","391","0","298","93","0","0","67478","4232","63246","20.03.28.00","9478","0","4523","4811","144","378447","16564","361883","0","0","0","0","0"
"20.03.27.00","376","0","288","88","0","0","65952","4131","61821","20.03.27.00","9332","0","4665","4528","139","367629","15219","352410","0","0","0","0","0"
"20.03.26.00","361","0","280","81","0","0","63842","4081","59761","20.03.26.00","9241","0","4966","4144","131","355701","14369","341332","0","0","0","0","0"
"20.03.25.00","347","0","275","72","0","0","61924","4050","57874","20.03.25.00","9137","0","5281","3730","126","348759","14278","334481","0","0","0","0","0"
"20.03.25.00","347","0","275","72","0","0","61924","4050","57874","20.03.25.00","9137","0","5281","3730","126","348759","14278","334481","0","0","0","0","0"
"20.03.23.00","330","0","266","64","0","0","58180","4110","54076","20.03.23.00","8961","0","5684","3166","111","329075","13628","315447","0","0","0","0","0"
"20.03.23.00","330","0","266","64","0","0","58180","4110","54076","20.03.23.00","8961","0","5684","3166","111","329075","13628","315447","0","0","0","0","0"
"20.03.21.00","314","0","250","64","0","0","56445","4174","52271","20.03.21.00","8799","0","6085","2612","102","318710","15704","303006","0","0","0","0","0"
"20.03.20.00","299","0","235","64","0","0","50371","4067","50371","20.03.20.00","8652","0","6325","2233","94","308012","15525","292487","0","0","0","0","0"
"20.03.20.00","299","0","235","64","0","0","50371","4067","50371","20.03.20.00","8652","0","6325","2233","94","308012","15525","292487","0","0","0","0","0"
"20.03.19.00","282","0","224","58","0","0","52259","4415","47844","20.03.19.00","8565","0","6527","1947","91","298459","15904","282555","0","0","0","0","0"
"20.03.17.00","267","0","212","55","0","0","47856","4534","43322","20.03.17.00","8320","0","6838","1401","81","278396","17291","261105","0","0","0","0","0"
"20.03.16.10","254","0","202","52","0","0","46915","6133","40782","20.03.16.00","8236","0","7024","1137","75","266268","14971","251297","0","0","0","0","0"
"20.03.16.00","248","0","201","47","0","0","46915","6133","40782","20.03.16.00","8236","0","7024","1137","75","266268","14971","251297","0","0","0","0","0"
"20.03.14.10","240","0","196","44","0","0","42233","4136","38097","20.03.15.00","8162","0","7253","834","75","260020","16272","243778","0","0","0","0","0"
"20.03.14.00","238","0","194","44","0","0","42233","4136","38097","20.03.14.00","8086","0","7300","714","72","253249","17634","235615","0","0","0","0","0"
"20.03.12.10","225","0","185","40","0","0","35278","3759","31519","20.03.13.00","7979","0","7402","510","67","240668","17940","222728","0","0","0","0","0"
"20.03.11.10","205","0","168","37","0","0","35278","3759","31519","20.03.11.00","7755","0","7407","288","60","214640","18540","196100","0","0","0","0","0"
"20.03.11.00","193","0","156","37","0","0","35278","3759","31519","20.03.11.00","7755","0","7407","288","60","214640","18540","196100","0","0","0","0","0"
"20.03.10.00","141","0","110","31","0","0","33532","3634","29898","20.03.10.00","7513","0","7212","247","54","202631","18452","184179","0","0","0","0","0"
"20.03.08.10","120","0","92","28","0","0","29808","3381","26427","20.03.09.00","7382","0","7165","166","51","189236","17458","171778","0","0","0","0","0"
"20.03.07.10","114","0","88","26","0","0","28344","3719","24625","20.03.07.00","6767","0","6605","118","44","171422","19620","151802","0","0","0","0","0"
"20.03.06.10","108","0","81","27","0","0","26800","4136","22664","20.03.07.00","6767","0","6605","118","44","178189","19620","151802","0","0","0","0","0"
"20.03.05.10","105","0","79","26","0","0","24708","4414","20294","20.03.06.00","6284","0","6134","108","42","164740","21832","136624","0","0","0","0","0"
"20.03.04.10","99","0","73","26","0","0","21522","4308","17214","20.03.05.00","5776","0","5653","88","35","131379","21810","102965","0","0","0","0","0"
"20.03.03.10","98","0","82","16","0","0","18791","5491","13300","20.03.04.00","5328","0","5255","41","32","131379","28414","102965","0","0","0","0","0"
"20.03.02.10","92","0","92","0","0","0","14189","4104","10085","20.03.03.00","4812","0","4750","34","28","121039","35555","85484","0","0","0","0","0"
"20.03.01.10","86","0","86","0","0","0","13194","3932","9262","20.03.02.10","4212","0","4159","31","22","105379","33360","61825","0","0","0","0","0"
"20.02.29.10","77","0","77","0","0","0","12265","3672","8593","20.03.01.09","3526","0","3479","30","17","93459","32422","61037","0","0","0","0","0"
"20.02.28.10","65","0","65","0","0","0","10563","2810","7753","20.02.29.10","2931","0","2888","27","16","78830","30237","48593","0","0","0","0","0"
"20.02.28.10","65","0","65","0","0","0","8238","2279","5959","20.02.27.16","1766","0","1727","26","13","64886","25568","39318","0","0","0","0","0"
"20.02.27.09","55","0","55","0","0","0","8238","2279","5959","20.02.27.09","1595","0","1559","24","12","52292","20716","31576","0","0","0","0",""
"20.02.25.18","40","0","40","0","0","0","6878","1463","5415","20.02.25.18","1146","0","1113","22","11","39327","13880","25447","0","0","0","0",""
"20.02.25.09","31","0","31","0","0","0","5856","1112","4744","20.02.25.09","893","0","863","22","8","31923","11631","20292","0","0","0","0",""
"20.02.24.09","25","0","25","0","0","0","5197","949","4248","20.02.24.09","763","0","738","18","7","25577","8057","17520","0","0","0","0",""
"20.02.23.09","24","0","24","0","0","0","4656","767","3889","20.02.23.09","556","0","536","18","2","22077","6039","16038","0","0","0","0",""
"20.02.22.09","18","0","18","0","0","0","1125","54","1071","20.02.22.09","346","0","327","17","2","16196","3180","13016","0","0","0","0",""
"20.02.21.09","15","0","15","0","0","0","1125","54","1071","20.02.21.09","156","0","139","16","1","14660","2707","11953","0","0","0","0",""
"20.02.19.18","13","0","13","0","0","0","1071","71","1000","20.02.19.18","82","0","66","16","0","11122","1149","9973","0","0","0","0",""
"20.02.19.09","13","0","13","0","0","0","1000","53","947","20.02.19.09","46","0","34","12","0","10365","1030","9335","0","0","0","0",""
"20.02.18.09","12","0","12","0","0","0","947","71","876","20.02.18.09","31","0","21","10","0","9234","957","8277","0","0","0","0",""
"20.02.16.18","11","0","11","0","0","0","876","13","863","20.02.16.18","29","0","20","9","0","8132","485","7647","0","0","0","0",""
"20.02.16.09","11","0","11","0","0","0","864","24","840","20.02.16.09","29","0","20","9","0","7491","638","6853","0","0","0","0",""
"20.02.15.18","10","0","10","0","0","0","864","24","840","20.02.15.18","28","0","19","9","0","7491","638","6853","0","0","0","0",""
"20.02.14.09","10","0","10","0","0","0","802","61","741","20.02.14.09","28","0","21","7","0","6826","692","6134","0","0","0","0",""
"20.02.13.09","10","0","10","0","0","0","741","77","664","20.02.13.09","28","0","21","7","0","5769","670","5099","0","0","0","0",""
"20.02.12.09","10","0","10","0","0","0","664","97","567","20.02.12.09","28","0","24","4","0","5046","992","4054","0","0","0","0",""
"20.02.11.09","10","0","10","0","0","0","567","108","459","20.02.11.09","28","0","24","4","0","3083","531","2552","0","0","0","0",""
"20.02.09.18","10","0","10","0","0","0","414","45","414","20.02.09.18","27","0","24","3","0","2571","888","1683","0","0","0","0",""
"20.02.09.11","10","0","10","0","0","0","414","92","322","20.02.09.11","25","0","22","3","0","2315","960","1355","0","0","0","0",""
"20.02.07.18","10","0","10","0","0","0","322","115","207","20.02.07.18","24","0","22","2","0","1106","264","842","0","0","0","0",""
"20.02.06.09","11","0","11","0","0","0","192","28","164","20.02.06.09","24","0","23","1","0","591","169","693","0","0","0","0",""
"20.02.06.08","10","0","10","0","0","0","","16","148","20.02.06.08","23","0","22","1","0","591","174","522","0","0","0","0",""
"20.02.05.15","8","0","8","0","0","0","","16","148","20.02.05.15","18","0","18","0","0","200","174","522","0","0","0","0",""
